epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9106,1.72145,1.67355,1.28721,0.28296,0.03273,0.02716,0.01268,2.3272,10.7918,1.77477,0.0700694,0.00332562,0.00332562
1,68.5453,1.69243,1.74221,1.27102,0.31342,0.01205,0.01861,0.00819,2.25122,inf,1.8692,0.0701389,0.0033179,0.0033179
2,128.532,1.72971,1.53553,1.33762,0.80304,0.05907,0.05582,0.02506,2.29635,13.9618,1.73521,0.0400072,0.00651954,0.00651954
3,185.914,1.66444,1.43464,1.30305,0.81093,0.05134,0.05716,0.03112,2.01169,3.71106,1.5909,0.0097435,0.00958918,0.00958918
4,243.725,1.61306,1.37268,1.27156,0.74057,0.12559,0.11886,0.05892,1.85124,1.95558,1.43328,0.009406,0.009406,0.009406
5,302.042,1.56308,1.31044,1.24356,0.64146,0.10762,0.11031,0.06127,1.73114,1.65155,1.35898,0.009208,0.009208,0.009208
6,359.092,1.51632,1.26089,1.21339,0.79224,0.12798,0.15695,0.08626,1.60183,1.90585,1.29299,0.00901,0.00901,0.00901
7,415.813,1.47896,1.2043,1.19609,0.6763,0.18071,0.1983,0.1114,1.5054,1.43256,1.24705,0.008812,0.008812,0.008812
8,473.886,1.44871,1.17772,1.18042,0.38948,0.178,0.14896,0.08384,1.62301,1.91355,1.32556,0.008614,0.008614,0.008614
9,531.369,1.43223,1.1412,1.16586,0.6713,0.12209,0.14209,0.07606,1.70173,1.76415,1.36227,0.008416,0.008416,0.008416
10,588.032,1.39916,1.1237,1.15116,0.22348,0.24788,0.1985,0.12196,1.5072,1.5356,1.25149,0.008218,0.008218,0.008218
11,645.546,1.38908,1.10165,1.14505,0.28052,0.29338,0.23872,0.13848,1.45458,1.66492,1.19584,0.00802,0.00802,0.00802
12,702.283,1.35824,1.0599,1.13095,0.31601,0.33413,0.25905,0.14339,1.55749,1.27403,1.30384,0.007822,0.007822,0.007822
13,759.994,1.34537,1.04024,1.12729,0.26813,0.28599,0.24241,0.13371,1.50878,1.29022,1.24151,0.007624,0.007624,0.007624
14,817.383,1.33301,1.02389,1.12214,0.23891,0.2281,0.2215,0.12767,1.53745,1.31059,1.25484,0.007426,0.007426,0.007426
15,874.259,1.31946,1.00648,1.11249,0.31515,0.36328,0.31542,0.18678,1.41441,1.26817,1.18,0.007228,0.007228,0.007228
16,932.067,1.31152,0.99386,1.11177,0.35643,0.36766,0.31276,0.18043,1.46766,1.2344,1.23735,0.00703,0.00703,0.00703
17,989.839,1.29212,0.98264,1.10204,0.3355,0.35115,0.32568,0.18868,1.39706,1.29687,1.16807,0.006832,0.006832,0.006832
18,1051.16,1.28281,0.96376,1.0925,0.32211,0.36716,0.31787,0.18143,1.37407,1.1085,1.16188,0.006634,0.006634,0.006634
19,1107.94,1.27015,0.95097,1.09107,0.38869,0.44066,0.40037,0.2345,1.34172,1.18158,1.14366,0.006436,0.006436,0.006436
20,1164.45,1.25859,0.93179,1.08378,0.41533,0.4048,0.39141,0.23089,1.34529,1.11298,1.13879,0.006238,0.006238,0.006238
21,1222.19,1.25067,0.9241,1.07815,0.50506,0.42089,0.42818,0.25432,1.30264,1.02536,1.13048,0.00604,0.00604,0.00604
22,1280.31,1.23536,0.90544,1.07551,0.41794,0.45376,0.42722,0.25338,1.28903,1.04906,1.12473,0.005842,0.005842,0.005842
23,1339.3,1.23036,0.89889,1.07264,0.61151,0.37041,0.42383,0.25715,1.31141,1.05234,1.12802,0.005644,0.005644,0.005644
24,1396.69,1.21922,0.88223,1.06718,0.60724,0.40658,0.45374,0.27849,1.2334,1.0018,1.09356,0.005446,0.005446,0.005446
25,1454.12,1.21649,0.87879,1.06455,0.63963,0.41802,0.48014,0.28621,1.25839,0.96889,1.10259,0.005248,0.005248,0.005248
26,1511.36,1.2041,0.86463,1.05972,0.5001,0.48684,0.49093,0.2974,1.29231,0.94994,1.10439,0.00505,0.00505,0.00505
27,1569.17,1.20228,0.86406,1.05737,0.44935,0.4898,0.48258,0.29041,1.26994,0.97395,1.09615,0.004852,0.004852,0.004852
28,1627.42,1.19668,0.84679,1.05345,0.47863,0.50214,0.50619,0.30613,1.251,0.92207,1.08729,0.004654,0.004654,0.004654
29,1686.13,1.18487,0.83823,1.04715,0.50109,0.53479,0.53014,0.31789,1.27813,0.9446,1.09276,0.004456,0.004456,0.004456
30,1745.57,1.17563,0.82532,1.04638,0.5487,0.49628,0.5207,0.31019,1.24814,0.89955,1.07829,0.004258,0.004258,0.004258
31,1803.87,1.16892,0.82389,1.04397,0.51339,0.52737,0.54928,0.32354,1.24946,0.88446,1.08163,0.00406,0.00406,0.00406
32,1862.7,1.16466,0.81004,1.03642,0.55594,0.5521,0.56984,0.35277,1.20533,0.84323,1.06229,0.003862,0.003862,0.003862
33,1921.82,1.15676,0.80497,1.03536,0.57422,0.52474,0.55341,0.32964,1.22727,0.85838,1.06764,0.003664,0.003664,0.003664
34,1979.63,1.14906,0.79544,1.0345,0.66474,0.49253,0.56236,0.33823,1.24665,0.84703,1.06794,0.003466,0.003466,0.003466
35,2037.62,1.14122,0.79143,1.03104,0.51778,0.52343,0.54719,0.32339,1.22885,0.85495,1.06324,0.003268,0.003268,0.003268
36,2096.52,1.13339,0.78203,1.02824,0.54747,0.50622,0.53479,0.32295,1.24001,0.86394,1.07182,0.00307,0.00307,0.00307
37,2154.46,1.12917,0.77136,1.02459,0.52716,0.52843,0.55057,0.33167,1.21587,0.8496,1.05805,0.002872,0.002872,0.002872
38,2212.8,1.12732,0.76559,1.02176,0.81021,0.43526,0.5666,0.34296,1.20629,0.82238,1.05211,0.002674,0.002674,0.002674
39,2271.45,1.12354,0.76521,1.02044,0.5388,0.5537,0.58579,0.35454,1.1886,0.81127,1.04519,0.002476,0.002476,0.002476
40,2330.33,1.11736,0.75298,1.01847,0.57094,0.57685,0.5985,0.35908,1.16456,0.80465,1.0438,0.002278,0.002278,0.002278
41,2390.43,1.11226,0.75172,1.01665,0.58245,0.57439,0.60271,0.37681,1.13676,0.78067,1.03548,0.00208,0.00208,0.00208
42,2449.55,1.10198,0.74272,1.01147,0.61774,0.58855,0.62644,0.39551,1.12962,0.76638,1.03034,0.001882,0.001882,0.001882
43,2508.52,1.09882,0.73628,1.01034,0.65909,0.57195,0.64048,0.40438,1.10233,0.75345,1.02107,0.001684,0.001684,0.001684
44,2567.59,1.08768,0.72366,1.00585,0.71152,0.53658,0.63173,0.40035,1.08909,0.74606,1.01846,0.001486,0.001486,0.001486
45,2626.14,1.08064,0.71991,1.00439,0.69006,0.57561,0.6532,0.42065,1.06428,0.73268,1.01196,0.001288,0.001288,0.001288
46,2684.4,1.08002,0.70979,1.00023,0.7547,0.56565,0.66298,0.42779,1.04449,0.71754,1.00491,0.00109,0.00109,0.00109
47,2742.24,1.07782,0.70865,0.9989,0.70322,0.59912,0.66213,0.42652,1.03554,0.7211,1.00411,0.000892,0.000892,0.000892
48,2800.24,1.06622,0.70465,0.99681,0.74422,0.56608,0.65681,0.42568,1.03094,0.71015,1.00441,0.000694,0.000694,0.000694
49,2858.85,1.05855,0.69633,0.99462,0.71844,0.58252,0.66385,0.43542,1.01884,0.70487,1.00111,0.000496,0.000496,0.000496
